00:00:02.00-1154 ->  SD OK~
00:00:15.00-14786 ->  Battery :12.21 V~
00:00:15.00-14714 ->  Speed:0.00 km/hr ~
00:00:15.00-14634 ->  Battery :12.21 V~
00:00:15.00-14563 ->  Speed:0.00 km/hr ~
00:00:15.00-14483 ->  Battery :12.22 V~
00:00:15.00-14411 ->  Speed:0.00 km/hr ~
00:00:15.00-14332 ->  Battery :12.22 V~
00:00:15.00-14261 ->  Speed:0.00 km/hr ~
00:00:15.00-14181 ->  Battery :12.24 V~
00:00:15.00-14109 ->  Speed:0.00 km/hr ~
00:00:15.00-14030 ->  Battery :12.19 V~
00:00:16.00-15959 ->  Speed:0.00 km/hr ~
00:00:16.00-15879 ->  Battery :12.22 V~
00:00:16.00-15807 ->  Speed:0.00 km/hr ~
00:00:16.00-15727 ->  Battery :12.24 V~
00:00:16.00-15656 ->  Speed:0.00 km/hr ~
00:00:16.00-15576 ->  Battery :12.24 V~
00:00:16.00-15505 ->  Speed:0.00 km/hr ~
00:00:16.00-15425 ->  Battery :12.24 V~
00:00:16.00-15354 ->  Speed:0.00 km/hr ~
00:00:16.00-15273 ->  Battery :12.24 V~
00:00:16.00-15200 ->  Speed:0.00 km/hr ~
00:00:16.00-15123 ->  Battery :12.24 V~
00:00:16.00-15052 ->  Speed:0.00 km/hr ~
00:00:17.00-16971 ->  Battery :12.22 V~
00:00:17.00-16901 ->  Speed:0.00 km/hr ~
00:00:17.00-16821 ->  Battery :12.21 V~
00:00:17.00-16750 ->  Speed:0.00 km/hr ~
00:00:17.00-16670 ->  Battery :12.21 V~
00:00:17.00-16600 ->  Speed:0.00 km/hr ~
00:00:17.00-16519 ->  Battery :12.22 V~
00:00:17.00-16448 ->  Speed:0.00 km/hr ~
00:00:17.00-16368 ->  Battery :12.21 V~
00:00:17.00-16295 ->  Speed:0.00 km/hr ~
00:00:17.00-16217 ->  Battery :12.22 V~
00:00:17.00-16146 ->  Speed:0.00 km/hr ~
00:00:17.00-16066 ->  Battery :12.22 V~
00:00:18.00-17996 ->  Speed:0.00 km/hr ~
00:00:18.00-17915 ->  Battery :12.24 V~
00:00:18.00-17843 ->  Speed:0.00 km/hr ~
00:00:18.00-17764 ->  Battery :12.22 V~
00:00:18.00-17693 ->  Speed:0.00 km/hr ~
00:00:18.00-17613 ->  Battery :12.21 V~
00:00:18.00-17542 ->  Speed:0.00 km/hr ~
00:00:18.00-17462 ->  Battery :12.22 V~
00:00:18.00-17388 ->  Speed:0.00 km/hr ~
00:00:18.00-17310 ->  Battery :12.24 V~
00:00:18.00-17239 ->  Speed:0.00 km/hr ~
00:00:18.00-17160 ->  Battery :12.24 V~
00:00:18.00-17076 ->  Speed:0.00 km/hr ~
00:00:18.00-17008 ->  Battery :12.24 V~
00:00:19.00-18937 ->  Speed:0.00 km/hr ~
00:00:19.00-18858 ->  Battery :12.24 V~
00:00:19.00-18786 ->  Speed:0.00 km/hr ~
00:00:19.00-18707 ->  Battery :12.24 V~
00:00:19.00-18636 ->  Speed:0.00 km/hr ~
00:00:19.00-18556 ->  Battery :12.24 V~
00:00:19.00-18484 ->  Speed:0.00 km/hr ~
00:00:19.00-18405 ->  Battery :12.22 V~
00:00:19.00-18334 ->  Speed:0.00 km/hr ~
00:00:19.00-18254 ->  Battery :12.22 V~
00:00:19.00-18182 ->  Speed:0.00 km/hr ~
00:00:19.00-18103 ->  Battery :12.22 V~
00:00:19.00-18031 ->  Speed:0.00 km/hr ~
00:00:20.00-19952 ->  Battery :12.22 V~
00:00:20.00-19880 ->  Speed:0.00 km/hr ~
00:00:20.00-19801 ->  Battery :12.22 V~
00:00:20.00-19729 ->  Speed:0.00 km/hr ~
00:00:20.00-19650 ->  Battery :12.22 V~
00:00:20.00-19578 ->  Speed:0.00 km/hr ~
00:00:20.00-19499 ->  Battery :12.21 V~
00:00:20.00-19427 ->  Speed:0.00 km/hr ~
00:00:20.00-19347 ->  Battery :12.22 V~
00:00:20.00-19276 ->  Speed:0.00 km/hr ~
00:00:20.00-19197 ->  Battery :12.19 V~
00:00:20.00-19125 ->  Speed:0.00 km/hr ~
00:00:20.00-19045 ->  Battery :12.21 V~
00:00:21.00-20974 ->  Speed:0.00 km/hr ~
00:00:21.00-20895 ->  Battery :12.24 V~
00:00:21.00-20823 ->  Speed:0.00 km/hr ~
00:00:21.00-20743 ->  Battery :12.24 V~
00:00:21.00-20673 ->  Speed:0.00 km/hr ~
00:00:21.00-20593 ->  Battery :12.24 V~
00:00:21.00-20521 ->  Speed:0.00 km/hr ~
00:00:21.00-20442 ->  Battery :12.24 V~
00:00:21.00-20371 ->  Speed:0.00 km/hr ~
00:00:21.00-20290 ->  Battery :12.28 V~
00:00:21.00-20219 ->  Speed:0.00 km/hr ~
00:00:21.00-20139 ->  Battery :12.24 V~
00:00:21.00-20068 ->  Speed:0.00 km/hr ~
00:00:22.00-21988 ->  Battery :12.24 V~
00:00:22.00-21917 ->  Speed:0.00 km/hr ~
00:00:22.00-21837 ->  Battery :12.22 V~
00:00:22.00-21766 ->  Speed:0.00 km/hr ~
00:00:22.00-21685 ->  Battery :12.22 V~
00:00:22.00-21612 ->  Speed:0.00 km/hr ~
00:00:22.00-21535 ->  Battery :12.21 V~
00:00:22.00-21463 ->  Speed:0.00 km/hr ~
00:00:22.00-21383 ->  Battery :12.22 V~
00:00:22.00-21313 ->  Speed:0.00 km/hr ~
00:00:22.00-21233 ->  Battery :12.21 V~
00:00:22.00-21162 ->  Speed:0.00 km/hr ~
00:00:22.00-21081 ->  Battery :12.21 V~
00:00:22.00-21011 ->  Speed:0.00 km/hr ~
00:00:23.00-22931 ->  Battery :12.22 V~
00:00:23.00-22860 ->  Speed:0.00 km/hr ~
00:00:23.00-22780 ->  Battery :12.21 V~
00:00:23.00-22707 ->  Speed:0.00 km/hr ~
00:00:23.00-22629 ->  Battery :12.18 V~
00:00:23.00-22557 ->  Speed:0.00 km/hr ~
00:00:23.00-22478 ->  Battery :12.21 V~
00:00:23.00-22407 ->  Speed:0.00 km/hr ~
00:00:23.00-22327 ->  Battery :12.22 V~
00:00:23.00-22255 ->  Speed:0.00 km/hr ~
00:00:23.00-22176 ->  Battery :12.24 V~
00:00:23.00-22104 ->  Speed:0.00 km/hr ~
00:00:23.00-22025 ->  Battery :12.24 V~
00:00:24.00-23953 ->  Speed:0.00 km/hr ~
00:00:24.00-23874 ->  Battery :12.24 V~
00:00:24.00-23800 ->  Speed:0.00 km/hr ~
00:00:24.00-23722 ->  Battery :12.25 V~
00:00:24.00-23651 ->  Speed:0.00 km/hr ~
00:00:24.00-23572 ->  Battery :12.24 V~
00:00:24.00-23500 ->  Speed:0.00 km/hr ~
00:00:24.00-23420 ->  Battery :12.24 V~
00:00:24.00-23349 ->  Speed:0.00 km/hr ~
00:00:24.00-23270 ->  Battery :12.22 V~
00:00:24.00-23198 ->  Speed:0.00 km/hr ~
00:00:24.00-23118 ->  Battery :12.22 V~
00:00:24.00-23047 ->  Speed:0.00 km/hr ~
00:00:25.00-24968 ->  Battery :12.22 V~
00:00:25.00-24896 ->  Speed:0.00 km/hr ~
00:00:25.00-24817 ->  Battery :12.21 V~
00:00:25.00-24746 ->  Speed:0.00 km/hr ~
00:00:25.00-24666 ->  Battery :12.25 V~
00:00:25.00-24594 ->  Speed:0.00 km/hr ~
00:00:25.00-24515 ->  Battery :12.21 V~
00:00:25.00-24444 ->  Speed:0.00 km/hr ~
00:00:25.00-24364 ->  Battery :12.21 V~
00:00:25.00-24292 ->  Speed:0.00 km/hr ~
00:00:25.00-24213 ->  Battery :12.19 V~
00:00:25.00-24141 ->  Speed:0.00 km/hr ~
00:00:25.00-24062 ->  Battery :12.21 V~
00:00:26.00-25990 ->  Speed:0.00 km/hr ~
00:00:26.00-25911 ->  Battery :12.22 V~
00:00:26.00-25839 ->  Speed:0.00 km/hr ~
00:00:26.00-25759 ->  Battery :12.22 V~
00:00:26.00-25688 ->  Speed:0.00 km/hr ~
00:00:26.00-25609 ->  Battery :12.24 V~
00:00:26.00-25537 ->  Speed:0.00 km/hr ~
00:00:26.00-25456 ->  Battery :12.24 V~
00:00:26.00-25386 ->  Speed:0.00 km/hr ~
00:00:26.00-25307 ->  Battery :12.24 V~
00:00:26.00-25235 ->  Speed:0.00 km/hr ~
00:00:26.00-25155 ->  Battery :12.24 V~
00:00:26.00-25084 ->  Speed:0.00 km/hr ~
00:00:26.00-25004 ->  Battery :12.24 V~
00:00:27.00-26933 ->  Speed:0.00 km/hr ~
00:00:27.00-26854 ->  Battery :12.24 V~
00:00:27.00-26783 ->  Speed:0.00 km/hr ~
00:00:27.00-26702 ->  Battery :12.24 V~
00:00:27.00-26631 ->  Speed:0.00 km/hr ~
00:00:27.00-26551 ->  Battery :12.22 V~
00:00:27.00-26480 ->  Speed:0.00 km/hr ~
00:00:27.00-26400 ->  Battery :12.22 V~
00:00:27.00-26329 ->  Speed:0.00 km/hr ~
00:00:27.00-26249 ->  Battery :12.22 V~
00:00:27.00-26178 ->  Speed:0.00 km/hr ~
00:00:27.00-26098 ->  Battery :12.21 V~
00:00:27.00-26024 ->  Speed:0.00 km/hr ~
00:00:28.00-27947 ->  Battery :12.19 V~
00:00:28.00-27876 ->  Speed:0.00 km/hr ~
00:00:28.00-27795 ->  Battery :12.19 V~
00:00:28.00-27725 ->  Speed:0.00 km/hr ~
00:00:28.00-27645 ->  Battery :12.21 V~
00:00:28.00-27574 ->  Speed:0.00 km/hr ~
00:00:28.00-27493 ->  Battery :12.21 V~
00:00:28.00-27423 ->  Speed:0.00 km/hr ~
00:00:28.00-27343 ->  Battery :12.22 V~
00:00:28.00-27272 ->  Speed:0.00 km/hr ~
00:00:28.00-27191 ->  Battery :12.22 V~
00:00:28.00-27118 ->  Speed:0.00 km/hr ~
00:00:28.00-27040 ->  Battery :12.25 V~
00:00:29.00-28969 ->  Speed:0.00 km/hr ~
00:00:29.00-28889 ->  Battery :12.24 V~
00:00:29.00-28818 ->  Speed:0.00 km/hr ~
00:00:29.00-28738 ->  Battery :12.24 V~
00:00:29.00-28666 ->  Speed:0.00 km/hr ~
00:00:29.00-28587 ->  Battery :12.24 V~
00:00:29.00-28515 ->  Speed:0.00 km/hr ~
00:00:29.00-28436 ->  Battery :12.22 V~
00:00:29.00-28364 ->  Speed:0.00 km/hr ~
00:00:29.00-28285 ->  Battery :12.22 V~
00:00:29.00-28210 ->  Speed:0.00 km/hr ~
00:00:29.00-28133 ->  Battery :12.22 V~
00:00:29.00-28062 ->  Speed:0.00 km/hr ~
00:00:30.00-29983 ->  Battery :12.22 V~
00:00:30.00-29911 ->  Speed:0.00 km/hr ~
00:00:30.00-29831 ->  Battery :12.21 V~
00:00:30.00-29760 ->  Speed:0.00 km/hr ~
00:00:30.00-29681 ->  Battery :12.21 V~
00:00:30.00-29609 ->  Speed:0.00 km/hr ~
00:00:30.00-29529 ->  Battery :12.19 V~
00:00:30.00-29458 ->  Speed:0.00 km/hr ~
00:00:30.00-29379 ->  Battery :12.21 V~
00:00:30.00-29307 ->  Speed:0.00 km/hr ~
00:00:30.00-29228 ->  Battery :12.21 V~
00:00:30.00-29157 ->  Speed:0.00 km/hr ~
00:00:30.00-29077 ->  Battery :12.21 V~
00:00:30.00-29005 ->  Speed:0.00 km/hr ~
00:00:31.00-30926 ->  Battery :12.22 V~
00:00:31.00-30855 ->  Speed:0.00 km/hr ~
00:00:31.00-30775 ->  Battery :12.22 V~
00:00:31.00-30703 ->  Speed:0.00 km/hr ~
00:00:31.00-30624 ->  Battery :12.24 V~
00:00:31.00-30552 ->  Speed:0.00 km/hr ~
00:00:31.00-30473 ->  Battery :12.24 V~
00:00:31.00-30401 ->  Speed:0.00 km/hr ~
00:00:31.00-30322 ->  Battery :12.24 V~
00:00:31.00-30250 ->  Speed:0.00 km/hr ~
00:00:31.00-30170 ->  Battery :12.24 V~
00:00:31.00-30099 ->  Speed:0.00 km/hr ~
00:00:31.00-30020 ->  Battery :12.24 V~
00:00:32.00-31948 ->  Speed:0.00 km/hr ~
00:00:32.00-31867 ->  Battery :12.24 V~
00:00:32.00-31797 ->  Speed:0.00 km/hr ~
00:00:32.00-31717 ->  Battery :12.22 V~
00:00:32.00-31646 ->  Speed:0.00 km/hr ~
00:00:32.00-31565 ->  Battery :12.24 V~
00:00:32.00-31495 ->  Speed:0.00 km/hr ~
00:00:32.00-31415 ->  Battery :12.22 V~
00:00:32.00-31344 ->  Speed:0.00 km/hr ~
00:00:32.00-31264 ->  Battery :12.21 V~
00:00:32.00-31194 ->  Speed:0.00 km/hr ~
00:00:32.00-31113 ->  Battery :12.21 V~
00:00:32.00-31042 ->  Speed:0.00 km/hr ~
00:00:33.32574 ->  Battery :12.19 V~
00:00:33.32644 ->  Speed:0.00 km/hr ~
00:00:33.32725 ->  Battery :12.19 V~
00:00:33.00-32740 ->  Speed:0.00 km/hr ~
00:00:33.00-32660 ->  Battery :12.21 V~
00:00:33.00-32589 ->  Speed:0.00 km/hr ~
00:00:33.00-32509 ->  Battery :12.21 V~
00:00:33.00-32435 ->  Speed:0.00 km/hr ~
00:00:33.00-32358 ->  Battery :12.22 V~
00:00:33.00-32287 ->  Speed:0.00 km/hr ~
00:00:33.00-32206 ->  Battery :12.22 V~
00:00:33.00-32136 ->  Speed:0.00 km/hr ~
00:00:33.00-32056 ->  Battery :12.24 V~
00:00:34.31551 ->  Speed:0.00 km/hr ~
00:00:34.31632 ->  Battery :12.24 V~
00:00:34.31702 ->  Speed:0.00 km/hr ~
00:00:34.31782 ->  Battery :12.24 V~
00:00:34.31853 ->  Speed:0.00 km/hr ~
00:00:34.31934 ->  Battery :12.25 V~
00:00:34.32004 ->  Speed:0.00 km/hr ~
00:00:34.32084 ->  Battery :12.24 V~
