00:00:02.00-1156 ->  SD OK~
00:00:10.00-9834 ->  Battery :12.39 V~
00:00:10.00-9763 ->  Speed:0.00 km/hr ~
00:00:10.00-9684 ->  Battery :12.46 V~
00:00:10.00-9612 ->  Speed:0.00 km/hr ~
00:00:10.00-9532 ->  Battery :12.39 V~
00:00:10.00-9460 ->  Speed:0.00 km/hr ~
00:00:10.00-9382 ->  Battery :12.39 V~
00:00:10.00-9310 ->  Speed:0.00 km/hr ~
00:00:10.00-9230 ->  Battery :12.36 V~
00:00:10.00-9158 ->  Speed:0.00 km/hr ~
00:00:10.00-9080 ->  Battery :12.41 V~
00:00:10.00-9008 ->  Speed:0.00 km/hr ~
00:00:11.00-10928 ->  Battery :12.39 V~
00:00:11.00-10856 ->  Speed:0.00 km/hr ~
00:00:11.00-10777 ->  Battery :12.39 V~
00:00:11.00-10705 ->  Speed:0.00 km/hr ~
00:00:11.00-10626 ->  Battery :12.40 V~
00:00:11.00-10554 ->  Speed:0.00 km/hr ~
00:00:11.00-10474 ->  Battery :12.44 V~
00:00:11.00-10403 ->  Speed:0.00 km/hr ~
00:00:11.00-10324 ->  Battery :12.34 V~
00:00:11.00-10253 ->  Speed:0.00 km/hr ~
00:00:11.00-10172 ->  Battery :12.36 V~
00:00:11.00-10101 ->  Speed:0.00 km/hr ~
00:00:11.00-10022 ->  Battery :12.37 V~
00:00:12.00-11950 ->  Speed:0.00 km/hr ~
00:00:12.00-11870 ->  Battery :12.41 V~
00:00:12.00-11799 ->  Speed:0.00 km/hr ~
00:00:12.00-11720 ->  Battery :12.39 V~
00:00:12.00-11648 ->  Speed:0.00 km/hr ~
00:00:12.00-11568 ->  Battery :12.39 V~
00:00:12.00-11496 ->  Speed:0.00 km/hr ~
00:00:12.00-11418 ->  Battery :12.40 V~
00:00:12.00-11346 ->  Speed:0.00 km/hr ~
00:00:12.00-11266 ->  Battery :12.39 V~
00:00:12.00-11194 ->  Speed:0.00 km/hr ~
00:00:12.00-11116 ->  Battery :12.37 V~
00:00:12.00-11044 ->  Speed:0.00 km/hr ~
00:00:13.00-12964 ->  Battery :12.40 V~
00:00:13.00-12892 ->  Speed:0.00 km/hr ~
00:00:13.00-12813 ->  Battery :12.37 V~
00:00:13.00-12742 ->  Speed:0.00 km/hr ~
00:00:13.00-12663 ->  Battery :12.37 V~
00:00:13.00-12588 ->  Speed:0.00 km/hr ~
00:00:13.00-12511 ->  Battery :12.40 V~
00:00:13.00-12440 ->  Speed:0.00 km/hr ~
00:00:13.00-12361 ->  Battery :12.39 V~
00:00:13.00-12289 ->  Speed:0.00 km/hr ~
00:00:13.00-12209 ->  Battery :12.39 V~
00:00:13.00-12138 ->  Speed:0.00 km/hr ~
00:00:13.00-12059 ->  Battery :12.43 V~
00:00:14.00-13987 ->  Speed:0.00 km/hr ~
00:00:14.00-13907 ->  Battery :12.36 V~
00:00:14.00-13836 ->  Speed:0.00 km/hr ~
00:00:14.00-13757 ->  Battery :12.40 V~
00:00:14.00-13682 ->  Speed:0.00 km/hr ~
00:00:14.00-13605 ->  Battery :12.39 V~
00:00:14.00-13533 ->  Speed:0.00 km/hr ~
00:00:14.00-13455 ->  Battery :12.37 V~
00:00:14.00-13383 ->  Speed:0.00 km/hr ~
00:00:14.00-13303 ->  Battery :12.40 V~
00:00:14.00-13231 ->  Speed:0.00 km/hr ~
00:00:14.00-13152 ->  Battery :12.40 V~
00:00:14.00-13081 ->  Speed:0.00 km/hr ~
00:00:14.00-13001 ->  Battery :12.37 V~
